id,month,gene_name,country,source,dn,ds
1,2021-04-01,ORF10,United States,ENA,8,4
2,2021-03-01,ORF7b,Poland,ENA,0,7
3,2021-05-01,ORF8,Philippines,ENA,7,8
4,2021-05-01,ORF1ab,South Africa,ENA,3,3
5,2021-02-01,ORF3a,Brazil,ENA,68,29
6,2021-05-01,S,"Iran, Islamic Republic of",ENA,3,4
7,2020-10-01,M,United States,ENA,2,1
8,2021-03-01,S,Qatar,ENA,131,16
9,2021-01-01,N,India,ENA,237,122
10,2020-07-01,N,France,ENA,4,3
11,2020-06-01,ORF1ab,Qatar,ENA,14,12
12,2020-11-01,N,United Kingdom,ENA,456,159
13,2020-04-01,N,United States,ENA,15,5
14,2021-03-01,N,Brazil,ENA,60,23
15,2021-04-01,ORF7b,Australia,ENA,0,1
16,2020-08-01,ORF7a,India,ENA,17,16
17,2020-09-01,ORF10,India,ENA,2,7
18,2021-04-01,ORF7a,United Kingdom,ENA,91,30
19,2020-07-01,ORF3a,Spain,ENA,209,10
20,2021-04-01,ORF7a,Uruguay,ENA,0,1
21,2020-06-01,E,United States,ENA,3,1
22,2020-07-01,ORF7a,United States,ENA,26,9
23,2021-05-01,S,Spain,ENA,23225,1479
24,2020-08-01,S,United Kingdom,ENA,37,9
25,2021-02-01,ORF7a,Brazil,ENA,7,5
26,2021-02-01,ORF3a,United Kingdom,ENA,774,210
27,2021-04-01,S,Romania,ENA,29,1
28,2021-02-01,ORF10,United States,ENA,32,10
29,2021-03-01,ORF6,Poland,ENA,4,1
30,2021-01-01,S,Turkey,ENA,5,2
31,2020-12-01,ORF6,United States,ENA,1,13
32,2020-02-01,ORF1ab,China,ENA,18,2
33,2021-03-01,E,Spain,ENA,12,7
34,2021-02-01,N,United Kingdom,ENA,15304,2782
35,2021-02-01,S,United States,ENA,2074,595
36,2020-07-01,ORF1ab,Jordan,ENA,34,38
37,2021-03-01,E,Qatar,ENA,0,1
38,2021-01-01,ORF1ab,Germany,ENA,0,1
39,2021-06-01,S,Greece,ENA,1819,48
40,2021-03-01,ORF1ab,Hong Kong,ENA,0,2
41,2020-08-01,N,Poland,ENA,77,38
42,2020-09-01,ORF3a,United States,ENA,372,12
43,2020-08-01,S,Italy,ENA,18,1
44,2021-04-01,N,Australia,ENA,37,84
45,2020-09-01,E,United States,ENA,6,2
46,2020-11-01,ORF1ab,Ecuador,ENA,4,8
47,2021-06-01,N,Greece,ENA,1585,320
48,2020-08-01,S,Philippines,ENA,37,4
49,2021-04-01,ORF7b,Spain,ENA,51,25
50,2021-04-01,ORF3a,Greece,ENA,9,2
51,2021-06-01,ORF6,United Kingdom,ENA,1,1
52,2020-07-01,ORF7b,United States,ENA,13,3
53,2020-10-01,M,United Kingdom,ENA,4,16
54,2021-03-01,ORF1ab,Chile,ENA,2,2
55,2021-06-01,ORF1ab,Switzerland,ENA,2164,2341
56,2021-05-01,M,Spain,ENA,265,2039
57,2021-03-01,ORF6,Qatar,ENA,1,4
58,2021-04-01,ORF6,Poland,ENA,0,1
59,2021-04-01,ORF8,Greece,ENA,2,5
60,2021-03-01,ORF7b,United Kingdom,ENA,66,24
61,2020-04-01,ORF1ab,Canada,ENA,5,1
62,2020-08-01,ORF1ab,Bangladesh,ENA,9,7
63,2021-02-01,ORF1ab,South Africa,ENA,89,64
64,2020-07-01,M,Spain,ENA,13,3
65,2020-07-01,N,Jordan,ENA,31,11
66,2020-09-01,ORF10,Brazil,ENA,0,1
67,2021-03-01,ORF1ab,Qatar,ENA,209,249
68,2021-05-01,ORF1ab,Japan,ENA,12,4
69,2021-04-01,E,Greece,ENA,0,4
70,2020-11-01,ORF7a,United Kingdom,ENA,24,5
71,2020-06-01,ORF3a,United States,ENA,475,8
72,2021-02-01,ORF1ab,Bangladesh,ENA,7,10
73,2021-01-01,ORF3a,India,ENA,87,3
74,2021-06-01,N,Mozambique,ENA,165,29
75,2021-05-01,ORF8,Poland,ENA,96,2
76,2021-06-01,ORF3a,United Kingdom,ENA,149,14
77,2021-04-01,ORF10,Spain,ENA,1921,73
78,2020-12-01,S,Poland,ENA,76,5
79,2021-01-01,ORF1ab,United Kingdom,ENA,18450,25441
80,2020-06-01,M,United Kingdom,ENA,10,10
81,2021-03-01,ORF10,United Kingdom,ENA,531,21
82,2021-06-01,S,United Kingdom,ENA,1213,67
83,2021-01-01,S,Bangladesh,ENA,24,1
84,2021-05-01,S,Philippines,ENA,83,10
85,2020-12-01,ORF7a,United Kingdom,ENA,1,2
86,2021-02-01,ORF7a,Spain,ENA,0,1
87,2021-02-01,N,Turkey,ENA,7,3
88,2020-08-01,N,China,ENA,1,1
89,2020-06-01,N,United States,ENA,102,43
90,2020-06-01,ORF1ab,Canada,ENA,8,2
91,2020-09-01,N,United States,ENA,93,58
92,2020-12-01,N,Poland,ENA,119,53
93,2020-11-01,ORF8,United Kingdom,ENA,23,51
94,2021-06-01,E,Mozambique,ENA,112,1
95,2021-02-01,S,Turkey,ENA,3,1
96,2020-08-01,S,China,ENA,0,2
97,2020-09-01,N,Latvia,ENA,13,7
98,2021-03-01,E,Poland,ENA,0,4
99,2021-05-01,ORF6,Philippines,ENA,0,1
100,2021-02-01,N,Poland,ENA,136,52
101,2020-10-01,N,United Kingdom,ENA,93,42
102,2020-06-01,ORF1ab,United States,ENA,785,1439
103,2021-04-01,ORF1ab,Romania,ENA,13,69
104,2020-04-01,N,Canada,ENA,0,2
105,2020-11-01,ORF10,India,ENA,6,5
106,2021-03-01,ORF1ab,Germany,ENA,1,1
107,2020-09-01,ORF1ab,United States,ENA,410,1255
108,2020-10-01,S,Israel,ENA,2,1
109,2020-12-01,ORF8,United States,ENA,232,2
110,2020-11-01,N,Germany,ENA,2,1
111,2021-06-01,ORF1ab,Greece,ENA,2069,1540
112,2020-09-01,N,Brazil,ENA,80,29
113,2020-12-01,N,Not available,ENA,0,2
114,2021-06-01,E,Greece,ENA,1,2
115,2020-11-01,ORF3a,India,ENA,181,6
116,2020-11-01,M,United States,ENA,9,80
117,2021-06-01,M,Mozambique,ENA,3,20
118,2021-06-01,ORF1ab,Mozambique,ENA,705,496
119,2021-06-01,M,Greece,ENA,13,24
120,2021-05-01,ORF1ab,India,ENA,57,37
121,2020-06-01,ORF7a,United States,ENA,3,1
122,2021-03-01,ORF1ab,Spain,ENA,3326,3105
123,2020-12-01,ORF7a,United States,ENA,31,3
124,2021-05-01,N,Not available,ENA,7,1
125,2020-10-01,S,United Kingdom,ENA,75,14
126,2021-02-01,ORF7b,Brazil,ENA,6,4
127,2021-02-01,ORF8,Spain,ENA,2,3
128,2021-04-01,S,Australia,ENA,40,11
129,2020-04-01,ORF1ab,China,ENA,4,4
130,2020-08-01,ORF8,India,ENA,113,52
131,2021-06-01,ORF6,Spain,ENA,33,35
132,2020-06-01,ORF8,United States,ENA,119,1
133,2020-07-01,ORF3a,United States,ENA,725,20
134,2020-08-01,S,Poland,ENA,46,15
135,2021-01-01,ORF3a,United Kingdom,ENA,2170,649
136,2021-04-01,ORF8,Uruguay,ENA,0,1
137,2020-08-01,ORF1ab,Mexico,ENA,10,29
138,2020-11-01,M,India,ENA,6,164
139,2020-11-01,ORF1ab,United States,ENA,1968,2955
140,2020-08-01,ORF3a,Spain,ENA,13,3
141,2020-08-01,ORF7b,United Kingdom,ENA,0,1
142,2020-04-01,M,United States,ENA,1,3
143,2021-01-01,ORF7a,United Kingdom,ENA,324,147
144,2021-01-01,ORF1ab,India,ENA,321,522
145,2020-09-01,ORF8,United States,ENA,37,2
146,2021-06-01,ORF7b,Spain,ENA,33,10
147,2021-01-01,S,India,ENA,112,20
148,2020-02-01,S,China,ENA,2,1
149,2021-01-01,ORF8,United Kingdom,ENA,1183,2182
150,2020-11-01,ORF7b,United Kingdom,ENA,39,10
151,2021-03-01,E,United Kingdom,ENA,69,52
152,2021-02-01,M,Brazil,ENA,5,19
153,2020-05-01,N,Germany,ENA,2,1
154,2020-12-01,E,United States,ENA,2,3
155,2020-09-01,ORF3a,Brazil,ENA,8,1
156,2020-09-01,S,Latvia,ENA,15,1
157,2021-05-01,ORF7b,Spain,ENA,78,68
