#CHROM	POS	ERR4145453.preprocessed.bam
MN908947.3	28	1
MN908947.3	29	1
MN908947.3	30	1
MN908947.3	31	1
MN908947.3	32	1
MN908947.3	33	1
MN908947.3	34	1
MN908947.3	35	1
MN908947.3	36	1
MN908947.3	37	1
MN908947.3	38	1
MN908947.3	39	1
MN908947.3	40	1
MN908947.3	41	1
MN908947.3	42	1
MN908947.3	43	1
MN908947.3	44	1
MN908947.3	45	1
MN908947.3	46	1
MN908947.3	47	1
MN908947.3	48	1
MN908947.3	49	1
MN908947.3	50	1
MN908947.3	51	1
MN908947.3	52	1
MN908947.3	53	1
MN908947.3	54	1
MN908947.3	55	1
MN908947.3	56	1
MN908947.3	57	1
MN908947.3	58	1
MN908947.3	59	1
MN908947.3	60	1
MN908947.3	61	1
MN908947.3	62	1
MN908947.3	63	1
MN908947.3	64	1
MN908947.3	65	1
MN908947.3	66	1
MN908947.3	67	1
MN908947.3	68	1
MN908947.3	69	1
MN908947.3	70	1
MN908947.3	71	1
MN908947.3	72	1
MN908947.3	73	1
MN908947.3	74	1
MN908947.3	75	1
MN908947.3	89	2
MN908947.3	90	2
MN908947.3	91	2
MN908947.3	92	2
MN908947.3	93	2
MN908947.3	94	2
MN908947.3	95	2
MN908947.3	96	2
MN908947.3	97	2
MN908947.3	98	2
MN908947.3	99	2
MN908947.3	100	2
MN908947.3	101	2
MN908947.3	102	2
MN908947.3	103	2
MN908947.3	104	2
MN908947.3	105	2
MN908947.3	106	2
MN908947.3	107	2
MN908947.3	108	2
MN908947.3	109	2
MN908947.3	110	2
MN908947.3	111	2
MN908947.3	112	2
MN908947.3	113	2
MN908947.3	114	3
MN908947.3	115	3
MN908947.3	116	3
MN908947.3	117	4
MN908947.3	118	4
MN908947.3	119	4
MN908947.3	120	4
MN908947.3	121	4
MN908947.3	122	5
MN908947.3	123	5
MN908947.3	124	5
MN908947.3	125	5
MN908947.3	126	5
MN908947.3	127	5
MN908947.3	128	5
MN908947.3	129	5
MN908947.3	130	5
MN908947.3	131	5
MN908947.3	132	5
MN908947.3	133	5
MN908947.3	134	5
MN908947.3	135	5
MN908947.3	136	5
MN908947.3	137	5
MN908947.3	138	5
MN908947.3	139	5
MN908947.3	140	5
MN908947.3	141	5
MN908947.3	142	5
MN908947.3	143	5
MN908947.3	144	5
MN908947.3	145	5
MN908947.3	146	5
MN908947.3	147	5
MN908947.3	148	5
MN908947.3	149	5
MN908947.3	150	5
MN908947.3	151	5
MN908947.3	152	5
MN908947.3	153	5
MN908947.3	154	5
MN908947.3	155	5
MN908947.3	156	5
MN908947.3	157	5
MN908947.3	158	4
MN908947.3	159	4
MN908947.3	160	4
MN908947.3	161	4
MN908947.3	162	4
MN908947.3	163	4
MN908947.3	164	4
MN908947.3	165	4
MN908947.3	166	4
MN908947.3	167	4
MN908947.3	168	4
MN908947.3	169	4
MN908947.3	170	4
MN908947.3	171	4
MN908947.3	172	4
MN908947.3	173	4
MN908947.3	174	4
MN908947.3	175	4
MN908947.3	176	4
MN908947.3	177	4
MN908947.3	178	4
MN908947.3	179	4
MN908947.3	180	4
MN908947.3	181	4
MN908947.3	182	4
MN908947.3	183	4
MN908947.3	184	4
MN908947.3	185	4
MN908947.3	186	4
MN908947.3	187	4
MN908947.3	188	4
MN908947.3	189	4
MN908947.3	190	4
MN908947.3	191	4
MN908947.3	192	4
MN908947.3	193	4
MN908947.3	194	4
MN908947.3	195	4
MN908947.3	196	4
MN908947.3	197	4
MN908947.3	198	4
MN908947.3	199	4
MN908947.3	200	4
MN908947.3	201	4
MN908947.3	202	4
MN908947.3	203	4
MN908947.3	204	4
MN908947.3	205	4
MN908947.3	206	4
MN908947.3	207	4
MN908947.3	208	5
MN908947.3	209	5
MN908947.3	210	5
MN908947.3	211	5
MN908947.3	212	5
MN908947.3	213	5
MN908947.3	214	5
MN908947.3	215	5
MN908947.3	216	7
MN908947.3	217	7
MN908947.3	218	7
MN908947.3	219	7
MN908947.3	220	7
MN908947.3	221	7
MN908947.3	222	7
MN908947.3	223	7
MN908947.3	224	7
MN908947.3	225	7
MN908947.3	226	7
MN908947.3	227	7
MN908947.3	228	7
MN908947.3	229	7
MN908947.3	230	7
MN908947.3	231	7
MN908947.3	232	7
MN908947.3	233	7
MN908947.3	234	7
MN908947.3	235	7
MN908947.3	236	7
MN908947.3	237	7
MN908947.3	238	7
MN908947.3	239	7
MN908947.3	240	6
MN908947.3	241	6
MN908947.3	242	7
MN908947.3	243	7
MN908947.3	244	11
MN908947.3	245	11
MN908947.3	246	11
MN908947.3	247	14
MN908947.3	248	14
MN908947.3	249	14
MN908947.3	250	14
MN908947.3	251	14
MN908947.3	252	14
MN908947.3	253	14
MN908947.3	254	14
MN908947.3	255	14
MN908947.3	256	14
MN908947.3	257	14
MN908947.3	258	15
MN908947.3	259	16
MN908947.3	260	17
MN908947.3	261	18
MN908947.3	262	18
MN908947.3	263	18
MN908947.3	264	18
MN908947.3	265	18
MN908947.3	266	18
MN908947.3	267	18
MN908947.3	268	19
MN908947.3	269	19
MN908947.3	270	19
MN908947.3	271	19
MN908947.3	272	17
MN908947.3	273	18
MN908947.3	274	18
MN908947.3	275	18
MN908947.3	276	19
MN908947.3	277	19
MN908947.3	278	19
MN908947.3	279	19
MN908947.3	280	20
MN908947.3	281	20
MN908947.3	282	20
MN908947.3	283	20
MN908947.3	284	22
MN908947.3	285	23
MN908947.3	286	23
MN908947.3	287	23
MN908947.3	288	23
MN908947.3	289	24
MN908947.3	290	24
MN908947.3	291	24
MN908947.3	292	24
MN908947.3	293	25
MN908947.3	294	25
MN908947.3	295	25
MN908947.3	296	25
MN908947.3	297	25
MN908947.3	298	25
MN908947.3	299	25
MN908947.3	300	27
MN908947.3	301	27
MN908947.3	302	27
MN908947.3	303	27
MN908947.3	304	29
MN908947.3	305	29
MN908947.3	306	29
MN908947.3	307	29
MN908947.3	308	29
MN908947.3	309	29
MN908947.3	310	29
MN908947.3	311	29
MN908947.3	312	29
MN908947.3	313	30
MN908947.3	314	29
MN908947.3	315	29
MN908947.3	316	29
MN908947.3	317	29
MN908947.3	318	29
MN908947.3	319	29
MN908947.3	320	29
MN908947.3	321	31
MN908947.3	322	32
MN908947.3	323	33
MN908947.3	324	32
MN908947.3	325	32
MN908947.3	326	32
MN908947.3	327	32
MN908947.3	328	32
MN908947.3	329	32
MN908947.3	330	31
MN908947.3	331	31
MN908947.3	332	31
MN908947.3	333	33
MN908947.3	334	33
MN908947.3	335	33
MN908947.3	336	33
MN908947.3	337	33
MN908947.3	338	33
MN908947.3	339	33
MN908947.3	340	35
MN908947.3	341	35
MN908947.3	342	37
MN908947.3	343	39
MN908947.3	344	39
MN908947.3	345	39
MN908947.3	346	39
MN908947.3	347	40
MN908947.3	348	41
MN908947.3	349	41
MN908947.3	350	40
MN908947.3	351	39
MN908947.3	352	38
MN908947.3	353	38
MN908947.3	354	39
MN908947.3	355	40
MN908947.3	356	40
MN908947.3	357	40
MN908947.3	358	41
MN908947.3	359	41
MN908947.3	360	41
MN908947.3	361	41
MN908947.3	362	41
MN908947.3	363	39
MN908947.3	364	41
MN908947.3	365	40
MN908947.3	366	41
MN908947.3	367	41
MN908947.3	368	41
MN908947.3	369	41
MN908947.3	370	44
MN908947.3	371	45
MN908947.3	372	46
MN908947.3	373	46
MN908947.3	374	47
MN908947.3	375	48
MN908947.3	376	50
MN908947.3	377	51
MN908947.3	378	51
MN908947.3	379	51
MN908947.3	380	51
MN908947.3	381	52
MN908947.3	382	53
MN908947.3	383	53
MN908947.3	384	53
MN908947.3	385	52
MN908947.3	386	52
MN908947.3	387	51
MN908947.3	388	51
MN908947.3	389	52
MN908947.3	390	50
MN908947.3	391	50
MN908947.3	392	50
MN908947.3	393	50
MN908947.3	394	50
MN908947.3	395	50
MN908947.3	396	50
MN908947.3	397	50
MN908947.3	398	51
MN908947.3	399	52
MN908947.3	400	53
MN908947.3	401	53
MN908947.3	402	53
MN908947.3	403	53
MN908947.3	404	53
MN908947.3	405	53
MN908947.3	406	53
MN908947.3	407	54
MN908947.3	408	54
MN908947.3	409	53
MN908947.3	410	52
MN908947.3	411	50
MN908947.3	412	51
MN908947.3	413	51
MN908947.3	414	51
MN908947.3	415	51
MN908947.3	416	51
MN908947.3	417	51
MN908947.3	418	52
MN908947.3	419	52
MN908947.3	420	51
MN908947.3	421	52
MN908947.3	422	52
MN908947.3	423	52
MN908947.3	424	53
MN908947.3	425	53
