id,month,region_type,region_name,country,source,ns,s,dn_ds
1728,2019-12-01,GENE,E,China,ENA,0,1,
1729,2019-12-01,GENE,N,China,ENA,4,1,1.192075471698112
1730,2019-12-01,GENE,ORF1ab,China,ENA,18,2,2.4839289000000004
1731,2019-12-01,GENE,S,China,ENA,2,3,0.18914728682170534
1732,2020-01-01,GENE,E,China,ENA,0,1,
1733,2020-01-01,GENE,E,Spain,ENA,0,1,
1734,2020-01-01,GENE,M,Hong Kong,ENA,0,1,
1735,2020-01-01,GENE,M,Not available,ENA,0,9,
1736,2020-01-01,GENE,M,Spain,ENA,0,6,
1737,2020-01-01,GENE,M,United Kingdom,ENA,9,22,0.12518181818181817
1738,2020-01-01,GENE,M,United States,ENA,0,10,
1739,2020-01-01,GENE,N,China,ENA,6,4,0.447028301886792
1740,2020-01-01,GENE,N,Poland,ENA,10,3,0.9933962264150933
1741,2020-01-01,GENE,N,Russian Federation,ENA,9,3,0.894056603773584
1742,2020-01-01,GENE,N,Spain,ENA,24,2,3.576226415094336
1743,2020-01-01,GENE,N,United Kingdom,ENA,671,319,0.626867273910214
1744,2020-01-01,GENE,N,United States,ENA,20,7,0.8514824797843656
1745,2020-01-01,GENE,ORF1ab,China,ENA,10,16,0.1724950625
1746,2020-01-01,GENE,ORF1ab,Germany,ENA,3,4,0.20699407500000003
1747,2020-01-01,GENE,ORF1ab,Hong Kong,ENA,0,2,
1748,2020-01-01,GENE,ORF1ab,Italy,ENA,1,2,0.13799605
1749,2020-01-01,GENE,ORF1ab,Not available,ENA,9,61,0.040720145901639346
1750,2020-01-01,GENE,ORF1ab,Poland,ENA,22,19,0.3195698
1751,2020-01-01,GENE,ORF1ab,Russian Federation,ENA,4,6,0.18399473333333335
1752,2020-01-01,GENE,ORF1ab,Spain,ENA,55,27,0.5622061296296297
1753,2020-01-01,GENE,ORF1ab,United Kingdom,ENA,493,807,0.16860483928128872
1754,2020-01-01,GENE,ORF1ab,United States,ENA,125,136,0.25366920955882355
1755,2020-01-01,GENE,ORF3a,United Kingdom,ENA,81,11,2.107840909090909
1756,2020-01-01,GENE,ORF6,United Kingdom,ENA,3,3,0.2425
1757,2020-01-01,GENE,ORF7a,United Kingdom,ENA,17,2,2.502499999999997
1758,2020-01-01,GENE,ORF7b,United States,ENA,0,1,
1759,2020-01-01,GENE,ORF8,China,ENA,13,1,3.4894736842105267
1760,2020-01-01,GENE,ORF8,Russian Federation,ENA,0,3,
1761,2020-01-01,GENE,ORF8,United Kingdom,ENA,32,2,4.294736842105264
1762,2020-01-01,GENE,ORF8,United States,ENA,43,1,11.542105263157897
1763,2020-01-01,GENE,S,China,ENA,5,1,1.4186046511627899
1764,2020-01-01,GENE,S,Hong Kong,ENA,1,1,0.283720930232558
1765,2020-01-01,GENE,S,Not available,ENA,57,9,1.7968992248062008
